Product_ID,Cooking_Method,Measure_from,Measure_to,Size_metric,Cooking_Temperature,Timing_from,Timing_to,Timing_metric,Timing_per
34,Oven,4,8,pounds,325,23,30,minutes,pound
35,Oven,4,6,pounds,325,28,38,minutes,pound
36,Oven,2.5,4,pounds,325,30,35,minutes,pound
37,Oven,4,6,pounds,425,45,60,minutes,
38,Oven,2,3,pounds,425,35,45,minutes,
39,Braise,3,4,pounds,325,1.5,2.5,hours,
40,Broil/Grill,,,,,4,5,minutes,
41,Cover with liquid; simmer,1,1.5,inches,,2,3,hours,
42,Braise,4,8,ounces,325,1.5,2.5,hours,
43,Broil/Grill/Fry,4,8,ounces,,3,5,minutes,
44,Oven,5,7,pounds,325,20,25,minutes,pound
45,Oven,7,9,pounds,325,15,20,minutes,pound
46,Oven,4,7,pounds,325,25,30,minutes,pound
47,Oven,3,4,pounds,375,20,30,minutes,pound
48,Oven,3,4,pounds,325,30,35,minutes,pound
49,Broil/Grill,1,1.5,inches,,8,12,minutes,
50,Broil/Grill/Fry,4,8,ounces,,5,8,minutes,
51,Broil/Grill,1,1.5,inches,,7,11,minutes,
52,Broil/Grill,0.75,0.75,inches,,14,18,minutes,
53,Cover with liquid; simmer,1,1.5,inches,,1,1.5,hours,
54,Cover with liquid; simmer,0.75,1,pounds,,1,1.5,hours,
55,Braise,1.5,2,pounds,325,1,1.5,hours,
56,Oven,3,5,pounds,325,35,40,minutes,pound
57,Oven,3,5,pounds,325,35,40,minutes,pound
58,Oven,3,4,pounds,325,30,34,minutes,pound
59,Broil/Grill/Fry,4,8,ounces,,5,8,minutes,
60,Oven,2,5,pounds,325,20,30,minutes,pound
61,Oven,2,4,pounds,325,23,33,minutes,pound
63,Broil/Grill,0.75,1.5,inches,,8,9,minutes,
63,Skillet,0.25,0.75,inches,,3,4,minutes,
63,Braise,0.25,0.75,inches,325,6,8,minutes,
64,Broil/Grill,0.75,1.5,inches,,12,16,minutes,
64,Skillet,0.25,0.75,inches,,7,8,minutes,
64,Braise,0.25,0.75,inches,325,6,8,minutes,
65,Oven,4,6,pounds,325,20,30,minutes,pound
66,Oven,6,10,pounds,325,20,25,minutes,pound
67,Oven,0.5,1.5,pounds,425-450,20,30,minutes,
67,Broil/Grill,0.5,1.5,pounds,,20,20,minutes,
69,Braise,0.5,1,inches,325,8,10,minutes,
69,Skillet,0.5,1,inches,,8,10,minutes,
72,Oven,2,4,pounds,350,1.5,2,hours,
72,Braise,2,4,pounds,325,1.5,2,hours,
72,Broil/Grill,2,4,pounds,,1.5,2,hours,
73,Broil/Grill/Fry,4,8,ounces,,5,10,minutes,
74,Oven,3,6,pounds,350,45,45,minutes,pound
74,Braise,3,6,pounds,325,2,2.5,hours,
75,Broil/Grill,1,1,inches,,10,15,minutes,
75,Cover with liquid; simmer,1,1,inches,,45,60,minutes,
76,Oven,3,4,pounds,325,20,25,minutes,pound
83,Oven,10,14,pounds,325,15,18,minutes,pound
84,Oven,5,7,pounds,325,18,24,minutes,pound
85,Oven,7,9,pounds,325,10,18,minutes,pound
86,Oven,5,8,pounds,325,25,30,minutes,pound
87,Oven,3,10,pounds,325,15,20,minutes,pound
88,Oven,6,12,pounds,325,10,15,minutes,pound
89,Oven,10,14,pounds,325,18,20,minutes,pound
90,Oven,5,7,pounds,325,22,25,minutes,pound
91,Oven,3,4,pounds,325,35,40,minutes,pound
92,Oven,5,8,pounds,325,30,35,minutes,pound
93,Oven,2,4,pounds,325,35,40,minutes,pound
94,Oven,8,20,pounds,325,22,26,minutes,pound
95,Oven,5,8,pounds,325,24,28,minutes,pound
96,Oven,5,8,pounds,325,35,40,minutes,pound
97,Boil,6,16,pounds,,20,25,minutes,pound
113,Oven,5,7,pounds,350,20,30,minutes,pound
114,Oven,4,24,pounds,325,30,30,minutes,pound
115,Broil/Grill/Fry,4,8,ounces,,5,8,minutes,
116,Oven,6,8,ounces,350,30,40,minutes,
117,Oven,4,4,ounces,350,20,30,minutes,
118,Oven,4,8,ounces,350,40,50,minutes,
119,Oven,,,,325,30,40,minutes,
120,Oven,,,,325,20,30,minutes,
121,Oven,,,,325,40,50,minutes,
123,Oven,,,,375,20,20,minutes,pound
124,Oven,,,,350,18,20,minutes,pound
125,Oven,,,,325,20,25,minutes,pound
126,Oven,2,3,pounds,350,30,30,minutes,pound
127,Oven,,,,425,20,20,minutes,
128,Oven,4,8,pounds,375,20,30,minutes,pound
129,Oven,18,24,ounces,350,50,60,minutes,
81,Oven,,,,350,1,1,hour,pound
81,Cover with liquid; simmer,,,,,1,1,hour,pound
81,Slow Cooker (Low),,,,,10,12,hours,
81,Slow Cooker (High),,,,,5,6,hours,
106,Broil/Grill,1,1.5,inches,,20,35,minutes,
132,Broil/Grill,1,1.5,inches,,20,35,minutes,
135,Oven,,,,325,,,,
141,Oven,,,,325,30,30,minutes,
78,Broil/Grill/Fry,4,8,ounces,,5,8,minutes,
